ID,lat,lng
cotedivoire-584,6.92488,-4.04518
cotedivoire-146,7.23795,-2.95912
cotedivoire-176,5.36658,-4.07212
cotedivoire-229,6.5592,-7.88088
cotedivoire-247,5.43879,-4.01208
cotedivoire-197,5.32617,-4.05725
cotedivoire-245,5.45182,-4.00992
cotedivoire-630,8.28439,-7.68611
cotedivoire-309,5.26019,-4.99883
cotedivoire-361,6.38489,-5.36205
cotedivoire-440,6.28096,-6.36047
cotedivoire-24,5.31532,-4.04307
cotedivoire-400,5.25299,-3.91453
cotedivoire-374,8.45042,-6.26983
cotedivoire-42,6.3039,-3.23036
cotedivoire-587,5.36892,-3.96688
cotedivoire-284,6.47398,-4.29087
cotedivoire-502,5.75329,-4.55792
cotedivoire-418,6.37476,-5.54317
cotedivoire-565,9.35979,-6.18574
cotedivoire-544,8.58372,-3.63003
cotedivoire-117,5.36318,-4.10564
cotedivoire-267,6.56158,-4.19069
cotedivoire-121,9.57979,-5.09312
cotedivoire-11,9.15474,-7.08041
cotedivoire-171,6.50036,-8.40926
cotedivoire-356,7.12325,-3.58199
cotedivoire-492,5.68248,-4.52568
cotedivoire-118,5.34938,-4.09388
cotedivoire-73,8.00436,-2.93965
cotedivoire-205,9.30031,-5.16405
cotedivoire-386,5.3086,-3.95022
cotedivoire-454,6.4989,-6.58339
cotedivoire-430,5.29926,-3.96013
cotedivoire-97,9.81647,-7.56151
cotedivoire-570,7.24015,-6.47465
cotedivoire-291,7.0129,-4.36401
cotedivoire-402,5.2522,-4.61506
cotedivoire-1,6.14522,-3.3865
cotedivoire-198,9.35875,-5.11808
cotedivoire-106,5.33805,-4.09647
cotedivoire-100,7.14198,-3.19039
cotedivoire-486,5.30177,-3.98386
cotedivoire-157,6.37566,-8.26041
cotedivoire-52,9.65065,-7.62223
cotedivoire-415,8.32343,-5.60354
cotedivoire-63,5.34778,-4.01522
cotedivoire-162,6.3164,-4.97051
cotedivoire-357,7.82678,-3.88538
cotedivoire-35,9.17718,-5.35161
cotedivoire-170,6.59104,-8.26866
cotedivoire-451,8.03038,-6.64112
cotedivoire-89,6.97737,-3.17026
cotedivoire-391,5.29913,-3.95158
cotedivoire-528,5.27502,-3.96615
cotedivoire-460,9.27577,-2.99499
cotedivoire-43,6.21546,-3.31044
cotedivoire-363,7.66952,-6.09823
cotedivoire-14,9.60649,-7.55302
cotedivoire-537,5.30751,-4.00177
cotedivoire-371,7.81133,-6.07769
cotedivoire-108,10.06196,-5.28476
cotedivoire-401,5.30419,-4.37712
cotedivoire-589,5.3925,-3.99628
cotedivoire-498,5.31278,-3.96297
cotedivoire-78,5.37028,-4.02585
cotedivoire-132,7.09968,-3.53385
cotedivoire-571,6.64722,-4.22682
cotedivoire-493,5.49887,-4.04764
cotedivoire-619,6.6637,-3.4126
cotedivoire-80,7.11531,-3.14477
cotedivoire-545,8.677,-3.19111
cotedivoire-527,5.49139,-4.04854
cotedivoire-387,5.30458,-4.37763
cotedivoire-367,8.06245,-6.19095
cotedivoire-314,5.44282,-4.02212
cotedivoire-265,7.91915,-3.99706
cotedivoire-625,6.534,-3.23702
cotedivoire-161,6.66506,-5.11658
cotedivoire-285,6.49377,-4.31445
cotedivoire-438,8.1597,-6.55385
cotedivoire-296,7.6919,-4.22271
cotedivoire-180,5.35862,-4.07128
cotedivoire-207,9.31508,-5.13258
cotedivoire-616,6.64172,-3.38734
cotedivoire-230,6.55205,-7.966824
cotedivoire-26,9.34393,-5.39556
