ID,Num,country,lat,lng,Nex,Npos
cotedivoire-268,268,cotedivoire,6.56568,-4.18157,30,4
cotedivoire-281,281,cotedivoire,6.49092,-4.22442,32,0
cotedivoire-139,139,cotedivoire,5.31974,-4.10024,30,0
cotedivoire-155,155,cotedivoire,6.42518,-4.82194,31,1
cotedivoire-22,22,cotedivoire,8.21562,-2.63513,30,0
cotedivoire-495,495,cotedivoire,5.72793,-4.43515,32,1
cotedivoire-220,220,cotedivoire,7.22901,-4.80717,30,0
cotedivoire-337,337,cotedivoire,5.4205,-4.03013,31,1
cotedivoire-433,433,cotedivoire,5.21503,-4.69847,31,0
cotedivoire-438,438,cotedivoire,8.1597,-6.55385,30,1
cotedivoire-522,522,cotedivoire,9.17171,-2.74549,32,0
cotedivoire-553,553,cotedivoire,8.71168,-3.11948,32,0
cotedivoire-73,73,cotedivoire,8.00436,-2.93965,30,0
cotedivoire-624,624,cotedivoire,8.09377,-7.48293,32,13
cotedivoire-374,374,cotedivoire,8.45042,-6.26983,35,0
cotedivoire-478,478,cotedivoire,6.49853,-6.58481,33,1
cotedivoire-110,110,cotedivoire,7.81998,-3.30049,30,0
cotedivoire-548,548,cotedivoire,9.30182,-6.37519,32,0
cotedivoire-138,138,cotedivoire,10.08025,-7.50553,30,0
cotedivoire-339,339,cotedivoire,5.41832,-4.02006,31,0
cotedivoire-162,162,cotedivoire,6.3164,-4.97051,30,0
cotedivoire-451,451,cotedivoire,8.03038,-6.64112,30,1
